ERROR - 2022-01-05 03:14:53 --> Severity: Core Warning --> PHP Startup: Unable to load dynamic library 'pdo_mysql' (tried: /usr/lib/php/20190902/pdo_mysql (/usr/lib/php/20190902/pdo_mysql: cannot open shared object file: No such file or directory), /usr/lib/php/20190902/pdo_mysql.so (/usr/lib/php/20190902/pdo_mysql.so: undefined symbol: mysqlnd_allocator)) Unknown 0
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '12', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '13', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '14', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '15', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '16', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '17', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '18', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '19', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:04 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '20', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '21', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '22', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '23', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '24', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '5', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '6', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '7', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '8', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '9', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '10', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '11', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '12', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '13', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '14', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '15', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '16', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '17', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '18', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '19', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
ERROR - 2022-01-05 11:08:12 --> Query error: Incorrect integer value: '' for column `rdmdb`.`e_absenwalas`.`absen_siswanaik` at row 1 - Invalid query: INSERT INTO `e_absenwalas` (`absen_id`, `absen_s`, `absen_i`, `absen_a`, `absen_catatan`, `absen_siswanaik`, `siswa_id`, `lembaga_id`, `tahunajaran_id`, `semester_id`, `kelas_id`, `tingkat_id`) VALUES (2021100000000000001, '0', '0', '0', '', '', '20', 'dDl5Um1LVzlkT3VoMWhzYjJHRDJHQT09OmJUUmtjalJ6TkdoaU1YTTBaREJ1T1E9PQ', '2021', '1', '2021100000000000001', '9')
